package	version	handler	status	local_path	declared_sha256	local_sha256	url	site
dbussy	71616a370d3f59ef1681d26f5df77c1545d5bc04	archive	missing	sources/dbussy/dbussy-71616a370d3f59ef1681d26f5df77c1545d5bc04.tar.gz	8ddae13387315c00bc316db1a2db8044073ad0d47f18d9840b3ba7f148b525ff		https://github.com/ldo/dbussy/archive/71616a370d3f59ef1681d26f5df77c1545d5bc04.tar.gz	https://gitlab.com/ldo/dbussy
dialog	1.3-20221229	archive	present	sources/dialog/dialog-1.3-20221229.tgz	d5663d016003e5260fa485f5e9c2ddffb386508f3bd0687d4fa3635ea9942b8e	d5663d016003e5260fa485f5e9c2ddffb386508f3bd0687d4fa3635ea9942b8e	https://invisible-mirror.net/archives/dialog/dialog-1.3-20221229.tgz	https://invisible-mirror.net/archives/dialog
diskdev_cmds	332.14	archive	missing	sources/diskdev_cmds/diskdev_cmds-332.14.tar.gz	a46bec392661a02d9683355baf4442d494e2bcde0ffb094aacc1e57ddc03b3d4		http://www.opensource.apple.com/tarballs/diskdev_cmds/diskdev_cmds-332.14.tar.gz	http://src.gnu-darwin.org/DarwinSourceArchive/expanded/diskdev_cmds/
distutilscross	0.1	archive	present	sources/distutilscross/distutilscross-0.1.tar.gz	4ed3fb427708c8a3ed5fe9c599532480f581078a1e0aec0e50f40eb58e9f0015	4ed3fb427708c8a3ed5fe9c599532480f581078a1e0aec0e50f40eb58e9f0015	https://files.pythonhosted.org/packages/source/d/distutilscross/distutilscross-0.1.tar.gz	https://pypi.org/project/distutilscross/
dosbox-core	27b6dbe8608ff63aaf8d5b7257a2b08c7d1a7a90	archive	present	sources/dosbox-core/dosbox-core-27b6dbe8608ff63aaf8d5b7257a2b08c7d1a7a90.tar.gz	d5821349004c90f87d2b80525d94bb69624d0a587778483ae7c0b0b8187bae3b	d5821349004c90f87d2b80525d94bb69624d0a587778483ae7c0b0b8187bae3b	https://github.com/realnc/dosbox-core/archive/27b6dbe8608ff63aaf8d5b7257a2b08c7d1a7a90.tar.gz	https://github.com/realnc/dosbox-core
dosbox-pure	87bf6365158325b76ff238c1ad8daf16a859bbe8	git	present	sources/dosbox-pure/dosbox-pure-87bf6365158325b76ff238c1ad8daf16a859bbe8			https://github.com/schellingb/dosbox-pure.git	https://github.com/schellingb/dosbox-pure
dosfstools	4.1	archive	present	sources/dosfstools/dosfstools-4.1.tar.xz	e6b2aca70ccc3fe3687365009dd94a2e18e82b688ed4e260e04b7412471cc173	e6b2aca70ccc3fe3687365009dd94a2e18e82b688ed4e260e04b7412471cc173	https://github.com/dosfstools/dosfstools/releases/download/v4.1/dosfstools-4.1.tar.xz	https://github.com/dosfstools/dosfstools
doublecherrygb	40b4cdaac5e725ab26b1d61106682aea7ecf2b50	archive	present	sources/doublecherrygb/doublecherrygb-40b4cdaac5e725ab26b1d61106682aea7ecf2b50.tar.gz	4db1ccaa239648edf5d042a55e2f88c07d4e607af90c77d20cbca1b2a288d6b8	4db1ccaa239648edf5d042a55e2f88c07d4e607af90c77d20cbca1b2a288d6b8	https://github.com/TimOelrichs/doublecherryGB-libretro/archive/40b4cdaac5e725ab26b1d61106682aea7ecf2b50.tar.gz	https://github.com/TimOelrichs/doublecherryGB-libretro
drastic	2.5.2.2	archive	present	sources/drastic/drastic-2.5.2.2.tar.gz		561fd70cf5c45c55892b9bdef4c376b0c7a1572e7bfa49c32adcc39eeb225a4e	https://github.com/Cebion/packages/raw/main/misc/drastic.tar.gz	-
dtc	1.6.0	archive	present	sources/dtc/dtc-1.6.0.tar.gz	af720893485b02441f8812773484b286f969d1b8c98769d435a75c6ad524104b	af720893485b02441f8812773484b286f969d1b8c98769d435a75c6ad524104b	https://git.kernel.org/pub/scm/utils/dtc/dtc.git/snapshot/1.6.0.tar.gz	https://git.kernel.org/pub/scm/utils/dtc/dtc.git/
duckstation	573c8370d75d38e922fa7b9f99d9c87c1f913c5d	file	present	extpackage/duckstation-573c8370d75d38e922fa7b9f99d9c87c1f913c5d			file:///home/samu/repos/others/RetroPixel_Pocket/extpackage/duckstation-573c8370d75d38e922fa7b9f99d9c87c1f913c5d	file:///home/samu/repos/others/RetroPixel_Pocket/extpackage/duckstation-573c8370d75d38e922fa7b9f99d9c87c1f913c5d
dvb-firmware	1.4.0	archive	missing	sources/dvb-firmware/dvb-firmware-1.4.0.tar.gz	8831e5e9c88e343742083f62bd28ad56b8cbd21bb9fe730ed1c292f6689fe2c3		https://github.com/CoreELEC/dvb-firmware/archive/1.4.0.tar.gz	https://github.com/CoreELEC/dvb-firmware
